"date","value","group"
"2013-09-09",0.821218074656189,0.848486779220758
"2013-09-10",0.847358121330724,0.859659896985344
"2013-09-11",0.846456692913386,0.869806717605293
"2013-09-12",0.83629191321499,0.869630129878057
"2013-09-13",0.846153846153846,0.852916013620395
"2013-09-16",0.865079365079365,0.875131642771689
"2013-09-17",0.873015873015873,0.880908098605178
"2013-09-18",0.874751491053678,0.880753889969287
"2013-09-19",0.872509960159363,0.881083294230808
"2013-09-20",0.832335329341317,0.865217193666236
"2013-09-23",0.862,0.876722708234247
"2013-09-24",0.865731462925852,0.879060502306415
"2013-09-25",0.884,0.880938860072143
"2013-09-26",0.864,0.881065191382414
"2013-09-27",0.852,0.86512118152712
"2013-09-30",0.872,0.875153889201562
"2013-10-01",0.886,0.878880371814043
"2013-10-02",0.87,0.885404986054805
"2013-10-03",0.878,0.882486211029698
"2013-10-04",0.838,0.868314650716649
"2013-10-07",0.86,0.875905268607959
"2013-10-08",0.885542168674699,0.88886443785083
"2013-10-09",0.859437751004016,0.886709135306054
"2013-10-10",0.853118712273642,0.878303216738986
"2013-10-11",0.872983870967742,0.864462771819143
"2013-10-15",0.850806451612903,0.845962181497823
"2013-10-16",0.806451612903226,0.835190343692484
"2013-10-17",0.838383838383838,0.879618016213931
"2013-10-18",0.834343434343434,0.866544309830681
"2013-10-21",0.864646464646465,0.880444193068069
"2013-10-22",0.854251012145749,0.884416466187864
"2013-10-23",0.888663967611336,0.886463886617349
"2013-10-24",0.860040567951318,0.882914314558623
"2013-10-25",0.671399594320487,0.77815127233488
"2013-10-28",0.839756592292089,0.880368166587421
"2013-10-29",0.861788617886179,0.887710786150755
"2013-10-30",0.878296146044625,0.885655293137107
"2013-10-31",0.626016260162602,0.745878478741422
"2013-11-01",0.815040650406504,0.834054115347734
"2013-11-04",0.861507128309572,0.882160477171762
"2013-11-06",0.869653767820774,0.890988395603409
"2013-11-07",0.883910386965377,0.881390986990959
"2013-11-08",0.841140529531568,0.864134737098678
"2013-11-12",0.826883910386965,0.855626385408031
"2013-11-13",0.839103869653768,0.875810478595321
"2013-11-14",0.855397148676171,0.872992275770094
"2013-11-15",0.853360488798371,0.856494769490113
"2013-11-18",0.861507128309572,0.868827286534477
"2013-11-19",0.879837067209776,0.877489808296099
"2013-11-20",0.847250509164969,0.875475005787878
"2013-11-21",0.847250509164969,0.875311354836603
"2013-11-22",0.84928716904277,0.850520313593325
"2013-11-25",0.822448979591837,0.861168820779504
"2013-11-26",0.822448979591837,0.855560202864485
"2013-11-27",0.730612244897959,0.734310327758159
"2013-12-02",0.812244897959184,0.854512965533751
"2013-12-03",0.848670756646217,0.86984929365893
"2013-12-04",0.85480572597137,0.870677367408004
"2013-12-05",0.848670756646217,0.862868906310381
"2013-12-06",0.830612244897959,0.839796469917546
"2013-12-09",0.836734693877551,0.843149885798998
"2013-12-10",0.775051124744376,0.821288851827392
"2013-12-11",0.834355828220859,0.865179895842502
"2013-12-12",0.848360655737705,0.859323197933008
"2013-12-13",0.807377049180328,0.836137978299749
"2013-12-16",0.846311475409836,0.856162997101331
"2013-12-17",0.772073921971253,0.82270916847039
"2013-12-18",0.82135523613963,0.849807405915956
"2013-12-19",0.817248459958932,0.844538876860121
"2013-12-20",0.777319587628866,0.778132947766337
"2014-01-02",0.722222222222222,0.618307625977974
"2014-01-06",0.826446280991736,0.838462353078129
"2014-01-07",0.514462809917355,0.637744637754393
"2014-01-08",0.826086956521739,0.838938650962764
"2014-01-09",0.83298969072165,0.854638336558394
"2014-01-10",0.806185567010309,0.831336850706948
"2014-01-13",0.855670103092783,0.8628227962129
"2014-01-14",0.837448559670782,0.8584363333431
"2014-01-15",0.835051546391753,0.863971024994686
"2014-01-16",0.843621399176955,0.865484426203541
"2014-01-17",0.833333333333333,0.842205299093803
"2014-01-21",0.818930041152263,0.824822242965189
"2014-01-22",0.380165289256198,0.437991359210369
"2014-01-23",0.839175257731959,0.855402580619708
"2014-01-24",0.805785123966942,0.846447368318188
"2014-01-27",NA,0.778501068216034
"2014-01-28",NA,0.827694780741499
"2014-01-29",NA,0.853340885551851
"2014-01-30",NA,0.789717962304683
"2014-01-31",NA,0.702986504427071
"2014-02-03",NA,0.696708624961039
"2014-02-04",0.846153846153846,0.84288823363416
"2014-02-05",0.445833333333333,0.555436922504205
"2014-02-06",0.85625,0.861075181714169
"2014-02-07",0.818371607515658,0.837207186103036
"2014-02-10",0.810020876826722,0.845600450868034
"2014-02-11",0.855949895615866,0.863736176246475
"2014-02-12",0.847599164926931,0.858213688377279
"2014-02-13",0.290187891440501,0.350140536084793
"2014-02-14",0.676409185803758,0.735065097627496
"2014-02-24",0.851464435146444,0.850047167689383
"2014-02-25",0.846960167714885,0.855032765116995
"2014-02-26",0.844863731656184,0.847176290507933
"2014-02-27",0.849056603773585,0.85429823500825
"2014-02-28",0.821428571428571,0.817230763087571
"2014-03-03",0.76890756302521,0.813385290136543
"2014-03-04",0.848739495798319,0.858916174559317
"2014-03-05",0.866108786610879,0.860045412178348
"2014-03-06",0.836820083682008,0.859684984789121
"2014-03-07",0.830543933054393,0.836401588656529
"2014-03-10",0.834381551362683,0.839210472832772
"2014-03-11",0.840670859538784,0.854506767846947
"2014-03-12",0.863731656184486,0.854133501948565
"2014-03-13",0.844863731656184,0.842216992551459
"2014-03-14",0.809224318658281,0.834311969465119
"2014-03-17",0.805031446540881,0.838855709041114
"2014-03-18",0.821802935010482,0.861420006277444
"2014-03-19",0.853249475890985,0.85714248446537
"2014-03-20",0.851153039832285,0.858652568164612
