date,value,group
6/9/14,0.648241206,0.950600206
6/10/14,0.949748744,0.959599053
6/11/14,0.949748744,0.947155859
6/12/14,0.964646465,0.75515118
6/13/14,0.878787879,0.9381142
6/16/14,0.878787879,0.950600206
6/17/14,0.939393939,0.959599053
6/18/14,0.95959596,0.947155859
6/19/14,0.924242424,0.75515118
6/20/14,0.898989899,0.9381142
6/23/14,0.878787879,0.950600206
6/24/14,0.818181818,0.959599053
6/25/14,0.707070707,0.947155859
6/26/14,0.691919192,0.75515118
